,Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,windSpeed,precipProbability,temperatureAvg,suicides/100k pop
0,Finland,Western Europe,7.842,10.775,0.954,72.0,0.949,-0.098,0.186,8.594642857142857,0.39339285714285716,29.941964285714285,1.2466230736666668
1,Denmark,Western Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,17.484732142857144,0.5409375,40.181250000000006,0.842732036
2,Switzerland,Western Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,3.653660714285714,0.32321428571428573,36.074776785714285,1.0283756751666666
3,Iceland,Western Europe,7.554,10.878,0.983,73.0,0.955,0.16,0.673,17.049821428571427,0.3710714285714286,20.860089285714285,0.8250825081666667
4,Netherlands,Western Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,16.011488095238093,0.2644345238095238,69.36464285714285,0.9325038805833333
5,Sweden,Western Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,7.591964285714285,0.29375,31.649151785714288,0.9859777723333333
6,Luxembourg,Western Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,9.377053571428572,0.40169642857142857,43.94678571428571,0.7406339155833334
7,Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,3.34625,0.31535714285714284,37.458214285714284,1.1594115917499999
8,Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,8.360525793650794,0.3140674603174603,67.83349702380953,1.1151002175833333
9,Israel,Middle East and North Africa,7.157,10.575,0.939,73.503,0.8,0.031,0.753,7.3675,0.1667857142857143,55.60120535714286,0.3844697186666666
10,Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,7.921428571428572,0.3875,41.941785714285714,0.78204707525
11,Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,8.904535714285714,0.26751785714285714,21.758339285714285,1.0345625714166666
12,Ireland,Western Europe,7.085,11.342,0.947,72.4,0.879,0.077,0.363,13.14669642857143,0.525,44.27308035714286,0.0
13,Costa Rica,Latin America and Caribbean,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,5.345178571428571,0.5626785714285715,64.71428571428571,0.46891084383333337
14,United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,14.791267857142858,0.3544285714285714,60.675375,0.5777675733333333
15,Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12.742232142857143,0.4082142857142857,46.675848214285715,1.2637187105
16,Malta,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,14.107946428571427,0.17080357142857142,58.59075892857143,0.44515764616666664
17,Spain,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,7.105892857142857,0.2461607142857143,51.24339285714286,0.7374103256666666
18,Italy,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,5.495446428571428,0.1813392857142857,49.52299107142857,0.5423706355833333
19,Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,3.800089285714286,0.2258035714285714,43.77491071428572,1.6574815571666666
20,Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,4.100446428571429,0.3632142857142857,75.34915178571428,0.2766136865
21,Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,9.30830357142857,0.2030357142857143,73.55428571428571,1.6753355542500001
22,Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,9.393125,0.45348214285714283,83.82075892857142,0.4558478266666666
23,Slovakia,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,3.7315178571428573,0.2092857142857143,33.63875,77.01976635033334
24,Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,3.2629464285714285,0.6750892857142857,78.48410714285714,0.38708111941666673
25,Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,9.106428571428571,0.10910714285714286,61.62102678571429,0.44319436291666664
26,Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,11.169196428571428,0.38598214285714283,39.32008928571428,2.2067812355
27,Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,6.96125,0.27732142857142855,56.43933035714285,0.2344459585833333
28,Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,10.963392857142859,0.4633035714285714,36.880401785714284,1.4296008858333333
29,Panama,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,8.929732142857143,0.43142857142857144,69.33683035714286,0.2522747656666667
30,Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,8.827767857142858,0.13607142857142857,45.96316964285714,0.6218751865833333
31,Chile,Latin America and Caribbean,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,5.257678571428571,0.03553571428571429,68.27723214285714,0.8529058438333333
32,Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,11.733839285714286,0.33875,41.4840625,1.0592543598333333
33,Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,10.235446428571427,0.1286607142857143,27.874017857142853,1.2307503985
34,Romania,Central and Eastern Europe,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,5.096964285714286,0.24133928571428573,38.81625,0.8214763788333334
35,Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,9.134553571428572,0.07901785714285714,66.29223214285715,0.14141743258333334
36,Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.6,0.778,0.002,0.835,5.776696428571428,0.235625,43.55147321428571,0.0
37,Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,9.362499999999999,0.48562500000000003,80.45888392857142,0.6985009116666666
38,Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,10.186696428571429,0.45723214285714286,38.49433035714286,1.5145679987499998
39,Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,4.145803571428571,0.6954464285714286,59.144151785714286,0.46723652358333334
40,Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,8.523214285714285,0.19919642857142855,43.53120535714285,1.3903126893333333
41,Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,7.14,0.16178571428571428,86.40656249999999,0.511531543
42,Japan,East Asia,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,3.6747321428571427,0.2982142857142857,39.01549107142857,0.8890411534166667
43,Argentina,Latin America and Caribbean,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,10.414107142857144,0.14151785714285714,72.97133928571428,0.6026059839166666
44,Portugal,Western Europe,5.929,10.421,0.879,72.6,0.892,-0.244,0.887,6.203660714285713,0.30098214285714286,54.78424107142857,0.8575801998333333
45,Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,5.6031249999999995,0.23714285714285713,39.58973214285714,1.2809537214166666
46,Philippines,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,12.114553571428571,0.3373214285714286,80.73200892857142,0.19229237633333332
47,Peru,Latin America and Caribbean,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,2.3208928571428573,0.7102678571428571,80.1146875,0.10124824541666666
48,Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,3.7416071428571427,0.6909821428571429,66.65517857142856,0.59092649925
49,Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,2.793125,0.15357142857142855,25.614598214285714,0.5243457776666667
50,Greece,Western Europe,5.723,10.279,0.823,72.6,0.582,-0.288,0.823,3.925267857142857,0.2849107142857143,44.46825892857143,0.40524996925
51,Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.876,0.028,0.882,6.415089285714286,0.27830357142857143,82.59151785714286,0.4681055680833333
52,Montenegro,Central and Eastern Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,4.578125,0.29124999999999995,45.60808035714286,0.8033767532499999
53,Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.714,4.892410714285715,0.5139285714285714,68.43803571428572,0.50795617475
54,Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11.154017857142858,0.32258928571428575,37.4765625,0.0
55,Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,4.135357142857143,0.3109821428571428,23.493214285714288,0.128568221
56,Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,4.867767857142857,0.26035714285714284,35.675625,0.822033668
57,Maldives,South Asia,5.198,9.826,0.913,70.6,0.854,0.024,0.825,10.41625,0.29232142857142857,83.49906250000001,0.0
58,North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,3.8217857142857143,0.27125,45.35357142857143,0.44589014616666667
59,South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,9.314017857142858,0.11410714285714285,74.87299107142857,0.05531896975
60,Turkey,Middle East and North Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,5.286875,0.27125,38.707633928571425,0.0
61,Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,5.488035714285714,0.35714285714285715,44.61732142857143,0.33530006949999996
62,Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,9.591071428571428,0.2057142857142857,40.37714285714286,1.2286847818333333
63,Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,4.7127678571428575,0.37991071428571427,44.60071428571428,0.0
64,Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,10.095535714285715,0.11776785714285713,53.567410714285714,0.011420686666666667
65,Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,8.196517857142856,0.025,60.302187499999995,0.005485182250000001
